How many players at the table?
GAME #118 : Winner - [1]
GAME #119 : Winner - [0]
GAME #120 : Winner - [2]
GAME #121 : Winner - [2]
GAME #122 : Winner - [0]
GAME #123 : Winner - [0]
GAME #124 : Winner - [2]
GAME #125 : Winner - [0]
GAME #126 : Winner - [2]
GAME #127 : Winner - [0]
GAME #128 : Winner - [0]
GAME #129 : Winner - [0]
GAME #130 : Winner - [0]
GAME #131 : Winner - [0]
GAME #132 : Winner - [1]
GAME #133 : Winner - [0]
GAME #134 : Winner - [2]
GAME #135 : Winner - [1]
GAME #136 : Winner - [0]
GAME #137 : Winner - [1]
GAME #138 : Winner - [2]
GAME #139 : Winner - [0]
GAME #140 : Winner - [1]
GAME #141 : Winner - [0]
GAME #142 : Winner - [1]
GAME #143 : Winner - [1]
GAME #144 : Winner - [2]
GAME #145 : Winner - [1]
GAME #146 : Winner - [1]
GAME #147 : Winner - [2]
GAME #148 : Winner - [1]
GAME #149 : Winner - [1]
GAME #150 : Winner - [1]
GAME #151 : Winner - [1]
GAME #152 : Winner - [0]
GAME #153 : Winner - [0]
GAME #154 : Winner - [2]
GAME #155 : Winner - [0]
GAME #156 : Winner - [0]
GAME #157 : Winner - [2]
GAME #158 : Winner - [0]
GAME #159 : Winner - [0]
GAME #160 : Winner - [1]
GAME #161 : Winner - [2]
GAME #162 : Winner - [0]
GAME #163 : Winner - [2]
GAME #164 : Winner - [0]
GAME #165 : Winner - [0]
GAME #166 : Winner - [0]
GAME #167 : Winner - [0]
GAME #168 : Winner - [1]
GAME #169 : Winner - [2]
GAME #170 : Winner - [2]
GAME #171 : Winner - [1]
GAME #172 : Winner - [0]
GAME #173 : Winner - [2]
GAME #174 : Winner - [0]
GAME #175 : Winner - [0]
GAME #176 : Winner - [2]
GAME #177 : Winner - [2]
GAME #178 : Winner - [2]
GAME #179 : Winner - [0]
GAME #180 : Winner - [0]
GAME #181 : Winner - [0]
GAME #182 : Winner - [0]
GAME #183 : Winner - [0]
GAME #184 : Winner - [1]
GAME #185 : Winner - [0]
GAME #186 : Winner - [2]
GAME #187 : Winner - [0]
GAME #188 : Winner - [2]
GAME #189 : Winner - [2]
GAME #190 : Winner - [0]
GAME #191 : Winner - [1]
GAME #192 : Winner - [1]
GAME #193 : Winner - [1]
GAME #194 : Winner - [1]
GAME #195 : Winner - [2]
GAME #196 : Winner - [0]
GAME #197 : Winner - [1]
GAME #198 : Winner - [1]
GAME #199 : Winner - [1]
GAME #200 : Winner - [1]
GAME #201 : Winner - [2]
GAME #202 : Winner - [0]
GAME #203 : Winner - [0]
GAME #204 : Winner - [2]
GAME #205 : Winner - [0]
GAME #206 : Winner - [0]
GAME #207 : Winner - [1]
GAME #208 : Winner - [2]
GAME #209 : Winner - [1]
GAME #210 : Winner - [1]
GAME #211 : Winner - [1]
GAME #212 : Winner - [2]
GAME #213 : Winner - [1]
GAME #214 : Winner - [0]
GAME #215 : Winner - [0]
GAME #216 : Winner - [2]
GAME #217 : Winner - [0]
GAME #218 : Winner - [1]
GAME #219 : Winner - [0]
GAME #220 : Winner - [1]
GAME #221 : Winner - [0]
GAME #222 : Winner - [0]
GAME #223 : Winner - [1]
GAME #224 : Winner - [0]
GAME #225 : Winner - [2]
GAME #226 : Winner - [0]
GAME #227 : Winner - [2]
GAME #228 : Winner - [0]
GAME #229 : Winner - [0]
GAME #230 : Winner - [1]
GAME #231 : Winner - [0]
GAME #232 : Winner - [1]
GAME #233 : Winner - [2]
GAME #234 : Winner - [0]
GAME #235 : Winner - [0]
GAME #236 : Winner - [0]
GAME #237 : Winner - [0]
GAME #238 : Winner - [0]
GAME #239 : Winner - [0]
GAME #240 : Winner - [2]
GAME #241 : Winner - [0]
GAME #242 : Winner - [0]
GAME #243 : Winner - [0]
GAME #244 : Winner - [2]
GAME #245 : Winner - [0]
GAME #246 : Winner - [1]
GAME #247 : Winner - [0]
GAME #248 : Winner - [2]
GAME #249 : Winner - [0]
GAME #250 : Winner - [0]
GAME #251 : Winner - [0]
GAME #252 : Winner - [1]
GAME #253 : Winner - [0]
GAME #254 : Winner - [2]
GAME #255 : Winner - [1]
GAME #256 : Winner - [0]
GAME #257 : Winner - [2]
GAME #258 : Winner - [0]
GAME #259 : Winner - [2]
GAME #260 : Winner - [0]
GAME #261 : Winner - [0]
GAME #262 : Winner - [1]
GAME #263 : Winner - [1]
GAME #264 : Winner - [0]
GAME #265 : Winner - [0]
GAME #266 : Winner - [2]
GAME #267 : Winner - [0]
GAME #268 : Winner - [0]
GAME #269 : Winner - [2]
GAME #270 : Winner - [1]
GAME #271 : Winner - [0]
GAME #272 : Winner - [0, 1, 2]
GAME #273 : Winner - [1]
GAME #274 : Winner - [0]
GAME #275 : Winner - [0]
GAME #276 : Winner - [1]
GAME #277 : Winner - [0]
GAME #278 : Winner - [0]
GAME #279 : Winner - [1]
GAME #280 : Winner - [2]
GAME #281 : Winner - [0]
GAME #282 : Winner - [2]
GAME #283 : Winner - [0]
GAME #284 : Winner - [1]
GAME #285 : Winner - [1]
GAME #286 : Winner - [1]
GAME #287 : Winner - [1]
GAME #288 : Winner - [0]
GAME #289 : Winner - [0]
GAME #290 : Winner - [0]
GAME #291 : Winner - [2]
GAME #292 : Winner - [0]
GAME #293 : Winner - [2]
GAME #294 : Winner - [2]
GAME #295 : Winner - [0]
GAME #296 : Winner - [0]
GAME #297 : Winner - [0]
GAME #298 : Winner - [0]
GAME #299 : Winner - [2]
GAME #300 : Winner - [2]
GAME #301 : Winner - [0]
GAME #302 : Winner - [0]
GAME #303 : Winner - [0]
GAME #304 : Winner - [2]
GAME #305 : Winner - [1]
GAME #306 : Winner - [0]
GAME #307 : Winner - [0]
GAME #308 : Winner - [1]
GAME #309 : Winner - [0]
GAME #310 : Winner - [2]
GAME #311 : Winner - [1]
GAME #312 : Winner - [0]
GAME #313 : Winner - [2]
GAME #314 : Winner - [1]
GAME #315 : Winner - [0]
GAME #316 : Winner - [0]
GAME #317 : Winner - [0]
GAME #318 : Winner - [0]
GAME #319 : Winner - [0]
GAME #320 : Winner - [2]
GAME #321 : Winner - [2]
GAME #322 : Winner - [0]
GAME #323 : Winner - [0]
GAME #324 : Winner - [0]
GAME #325 : Winner - [0]
GAME #326 : Winner - [1]
GAME #327 : Winner - [1]
GAME #328 : Winner - [0]
GAME #329 : Winner - [1]
GAME #330 : Winner - [0]
GAME #331 : Winner - [2]
GAME #332 : Winner - [0]
GAME #333 : Winner - [1]
GAME #334 : Winner - [0]
GAME #335 : Winner - [0]
GAME #336 : Winner - [0]
GAME #337 : Winner - [0]
GAME #338 : Winner - [0]
GAME #339 : Winner - [0]
GAME #340 : Winner - [0]
GAME #341 : Winner - [0]
GAME #342 : Winner - [0]
GAME #343 : Winner - [0]
GAME #344 : Winner - [0]
GAME #345 : Winner - [1]
GAME #346 : Winner - [2]
GAME #347 : Winner - [1]
GAME #348 : Winner - [1]
GAME #349 : Winner - [2]
GAME #350 : Winner - [1]
GAME #351 : Winner - [1]
GAME #352 : Winner - [0]
GAME #353 : Winner - [0]
GAME #354 : Winner - [1]
GAME #355 : Winner - [1]
GAME #356 : Winner - [2]
GAME #357 : Winner - [0]
GAME #358 : Winner - [1]
GAME #359 : Winner - [1]
GAME #360 : Winner - [2]
GAME #361 : Winner - [0]
GAME #362 : Winner - [0]
GAME #363 : Winner - [1]
GAME #364 : Winner - [0]
GAME #365 : Winner - [1]
GAME #366 : Winner - [0]
GAME #367 : Winner - [2]
GAME #368 : Winner - [1]
GAME #369 : Winner - [1]
GAME #370 : Winner - [0]
GAME #371 : Winner - [0]
GAME #372 : Winner - [0]
GAME #373 : Winner - [1]
GAME #374 : Winner - [1]
GAME #375 : Winner - [2]
GAME #376 : Winner - [0]
GAME #377 : Winner - [1]
GAME #378 : Winner - [0]
GAME #379 : Winner - [0]
GAME #380 : Winner - [0]
GAME #381 : Winner - [1]
GAME #382 : Winner - [0]
GAME #383 : Winner - [2]
GAME #384 : Winner - [2]
GAME #385 : Winner - [2]
GAME #386 : Winner - [2]
GAME #387 : Winner - [0]
GAME #388 : Winner - [1]
GAME #389 : Winner - [1]
GAME #390 : Winner - [1]
GAME #391 : Winner - [1]
GAME #392 : Winner - [0]
GAME #393 : Winner - [0]
GAME #394 : Winner - [1]
GAME #395 : Winner - [2]
GAME #396 : Winner - [0]
GAME #397 : Winner - [2]
GAME #398 : Winner - [1]
GAME #399 : Winner - [0]
GAME #400 : Winner - [0]
GAME #401 : Winner - [2]
GAME #402 : Winner - [1]
GAME #403 : Winner - [0]
GAME #404 : Winner - [0]
GAME #405 : Winner - [0]
GAME #406 : Winner - [0]
GAME #407 : Winner - [1]
GAME #408 : Winner - [0]
GAME #409 : Winner - [0]
GAME #410 : Winner - [0]
GAME #411 : Winner - [2]
GAME #412 : Winner - [1]
GAME #413 : Winner - [1]
GAME #414 : Winner - [1]
GAME #415 : Winner - [0]
GAME #416 : Winner - [0]
GAME #417 : Winner - [0]
GAME #418 : Winner - [1]
GAME #419 : Winner - [1]
GAME #420 : Winner - [0]
GAME #421 : Winner - [0]
GAME #422 : Winner - [0]
GAME #423 : Winner - [0]
GAME #424 : Winner - [1]
GAME #425 : Winner - [1]
GAME #426 : Winner - [0]
GAME #427 : Winner - [1]
GAME #428 : Winner - [0]
GAME #429 : Winner - [0]
GAME #430 : Winner - [0]
GAME #431 : Winner - [0]
GAME #432 : Winner - [1]
GAME #433 : Winner - [2]
GAME #434 : Winner - [1]
GAME #435 : Winner - [2]
GAME #436 : Winner - [1]
GAME #437 : Winner - [0]
GAME #438 : Winner - [0]
GAME #439 : Winner - [0]
GAME #440 : Winner - [0]
GAME #441 : Winner - [1]
GAME #442 : Winner - [0]
GAME #443 : Winner - [2]
GAME #444 : Winner - [0]
GAME #445 : Winner - [2]
GAME #446 : Winner - [1]
GAME #447 : Winner - [0]
GAME #448 : Winner - [0]
GAME #449 : Winner - [2]
GAME #450 : Winner - [1]
GAME #451 : Winner - [1]
GAME #452 : Winner - [1]
GAME #453 : Winner - [2]
GAME #454 : Winner - [0]
GAME #455 : Winner - [1]
GAME #456 : Winner - [1]
GAME #457 : Winner - [1]
GAME #458 : Winner - [0]
GAME #459 : Winner - [2]
GAME #460 : Winner - [0]
GAME #461 : Winner - [0]
GAME #462 : Winner - [1]
GAME #463 : Winner - [2]
GAME #464 : Winner - [1]
GAME #465 : Winner - [2]
GAME #466 : Winner - [0]
GAME #467 : Winner - [1]
GAME #468 : Winner - [0]
GAME #469 : Winner - [0]
GAME #470 : Winner - [1]
GAME #471 : Winner - [0]
GAME #472 : Winner - [2]
GAME #473 : Winner - [2]
GAME #474 : Winner - [0]
GAME #475 : Winner - [0]
GAME #476 : Winner - [1]
GAME #477 : Winner - [0]
GAME #478 : Winner - [0]
GAME #479 : Winner - [0]
GAME #480 : Winner - [0]
GAME #481 : Winner - [0]
GAME #482 : Winner - [0]
GAME #483 : Winner - [0]
GAME #484 : Winner - [2]
GAME #485 : Winner - [1]
GAME #486 : Winner - [0]
GAME #487 : Winner - [0]
GAME #488 : Winner - [0]
GAME #489 : Winner - [1]
GAME #490 : Winner - [1]
GAME #491 : Winner - [0]
GAME #492 : Winner - [1]
GAME #493 : Winner - [2]
GAME #494 : Winner - [0]
GAME #495 : Winner - [0]
GAME #496 : Winner - [0]
GAME #497 : Winner - [2]
GAME #498 : Winner - [1]
GAME #499 : Winner - [2]
GAME #500 : Winner - [1]
GAME #501 : Winner - [0]
GAME #502 : Winner - [0]
GAME #503 : Winner - [0]
GAME #504 : Winner - [0]
GAME #505 : Winner - [2]
GAME #506 : Winner - [0]
GAME #507 : Winner - [0]
GAME #508 : Winner - [1]
GAME #509 : Winner - [0]
GAME #510 : Winner - [0]
GAME #511 : Winner - [1]
GAME #512 : Winner - [0]
GAME #513 : Winner - [0]
GAME #514 : Winner - [0]
GAME #515 : Winner - [2]
GAME #516 : Winner - [2]
GAME #517 : Winner - [0]
GAME #518 : Winner - [0]
GAME #519 : Winner - [0]
GAME #520 : Winner - [1]
GAME #521 : Winner - [2]
GAME #522 : Winner - [2]
GAME #523 : Winner - [2]
GAME #524 : Winner - [0]
GAME #525 : Winner - [0]
GAME #526 : Winner - [2]
GAME #527 : Winner - [2]
GAME #528 : Winner - [1]
GAME #529 : Winner - [2]
GAME #530 : Winner - [0]
GAME #531 : Winner - [0]
GAME #532 : Winner - [1]
GAME #533 : Winner - [0]
GAME #534 : Winner - [1]
GAME #535 : Winner - [2]
GAME #536 : Winner - [0]
GAME #537 : Winner - [1]
GAME #538 : Winner - [2]
GAME #539 : Winner - [2]
GAME #540 : Winner - [1]
GAME #541 : Winner - [0]
GAME #542 : Winner - [2]
GAME #543 : Winner - [1]
GAME #544 : Winner - [2]
GAME #545 : Winner - [2]
GAME #546 : Winner - [2]
GAME #547 : Winner - [2]
GAME #548 : Winner - [0]
GAME #549 : Winner - [0]
GAME #550 : Winner - [1]
GAME #551 : Winner - [0]
GAME #552 : Winner - [2]
GAME #553 : Winner - [0]
GAME #554 : Winner - [1]
GAME #555 : Winner - [0]
GAME #556 : Winner - [0]
GAME #557 : Winner - [0]
GAME #558 : Winner - [0]
GAME #559 : Winner - [1]
GAME #560 : Winner - [0]
GAME #561 : Winner - [2]
GAME #562 : Winner - [0]
GAME #563 : Winner - [0]
GAME #564 : Winner - [1]
GAME #565 : Winner - [1]
GAME #566 : Winner - [1]
GAME #567 : Winner - [0]
GAME #568 : Winner - [0]
GAME #569 : Winner - [1]
GAME #570 : Winner - [0]
GAME #571 : Winner - [2]
GAME #572 : Winner - [1]
GAME #573 : Winner - [1]
GAME #574 : Winner - [0]
GAME #575 : Winner - [1]
GAME #576 : Winner - [0]
GAME #577 : Winner - [1]
GAME #578 : Winner - [1]
GAME #579 : Winner - [1]
GAME #580 : Winner - [1]
GAME #581 : Winner - [2]
GAME #582 : Winner - [1]
GAME #583 : Winner - [1]
GAME #584 : Winner - [0]
GAME #585 : Winner - [0]
GAME #586 : Winner - [1]
GAME #587 : Winner - [2]
GAME #588 : Winner - [2]
GAME #589 : Winner - [0]
GAME #590 : Winner - [0]
GAME #591 : Winner - [2]
GAME #592 : Winner - [0]
GAME #593 : Winner - [2]
GAME #594 : Winner - [1]
GAME #595 : Winner - [1]
GAME #596 : Winner - [0]
GAME #597 : Winner - [0]
GAME #598 : Winner - [0]
GAME #599 : Winner - [0]
GAME #600 : Winner - [0]
GAME #601 : Winner - [0]
GAME #602 : Winner - [0]
GAME #603 : Winner - [1]
GAME #604 : Winner - [0]
GAME #605 : Winner - [0]
GAME #606 : Winner - [0]
GAME #607 : Winner - [2]
GAME #608 : Winner - [0]
GAME #609 : Winner - [2]
GAME #610 : Winner - [0]
GAME #611 : Winner - [0]
GAME #612 : Winner - [0]
GAME #613 : Winner - [1]
GAME #614 : Winner - [0]
GAME #615 : Winner - [2]
GAME #616 : Winner - [0, 1, 2]
GAME #617 : Winner - [1]
GAME #618 : Winner - [0]
GAME #619 : Winner - [0]
GAME #620 : Winner - [0]
GAME #621 : Winner - [0]
GAME #622 : Winner - [2]
GAME #623 : Winner - [2]
GAME #624 : Winner - [1]
GAME #625 : Winner - [0]
GAME #626 : Winner - [2]
GAME #627 : Winner - [1]
GAME #628 : Winner - [2]
GAME #629 : Winner - [0]
GAME #630 : Winner - [0]
GAME #631 : Winner - [0]
GAME #632 : Winner - [2]
GAME #633 : Winner - [0]
GAME #634 : Winner - [1]
GAME #635 : Winner - [0]
GAME #636 : Winner - [1]
GAME #637 : Winner - [0]
GAME #638 : Winner - [0]
GAME #639 : Winner - [0]
GAME #640 : Winner - [2]
GAME #641 : Winner - [2]
GAME #642 : Winner - [0]
GAME #643 : Winner - [0]
GAME #644 : Winner - [0]
GAME #645 : Winner - [0]
GAME #646 : Winner - [2]
GAME #647 : Winner - [0]
GAME #648 : Winner - [0]
GAME #649 : Winner - [1]
GAME #650 : Winner - [0]
GAME #651 : Winner - [0]
GAME #652 : Winner - [0]
GAME #653 : Winner - [0]
GAME #654 : Winner - [2]
GAME #655 : Winner - [0]
GAME #656 : Winner - [1]
GAME #657 : Winner - [1]
GAME #658 : Winner - [0]
GAME #659 : Winner - [0]
GAME #660 : Winner - [1]
GAME #661 : Winner - [1]
GAME #662 : Winner - [2]
GAME #663 : Winner - [0]
GAME #664 : Winner - [1]
GAME #665 : Winner - [0]
GAME #666 : Winner - [2]
GAME #667 : Winner - [1]
GAME #668 : Winner - [0]
GAME #669 : Winner - [0]
GAME #670 : Winner - [0]
GAME #671 : Winner - [0]
GAME #672 : Winner - [0]
GAME #673 : Winner - [2]
GAME #674 : Winner - [0]
GAME #675 : Winner - [0]
GAME #676 : Winner - [1]
GAME #677 : Winner - [2]
GAME #678 : Winner - [1]
GAME #679 : Winner - [0]
GAME #680 : Winner - [2]
GAME #681 : Winner - [0]
GAME #682 : Winner - [1]
GAME #683 : Winner - [0]
GAME #684 : Winner - [0, 1, 2]
GAME #685 : Winner - [1]
GAME #686 : Winner - [1]
GAME #687 : Winner - [2]
GAME #688 : Winner - [2]
GAME #689 : Winner - [1]
GAME #690 : Winner - [0, 1, 2]
GAME #691 : Winner - [0]
GAME #692 : Winner - [1]
GAME #693 : Winner - [0]
GAME #694 : Winner - [1]
GAME #695 : Winner - [2]
GAME #696 : Winner - [0]
GAME #697 : Winner - [2]
GAME #698 : Winner - [1]
GAME #699 : Winner - [1]
GAME #700 : Winner - [1]
GAME #701 : Winner - [0]
GAME #702 : Winner - [1]
GAME #703 : Winner - [2]
GAME #704 : Winner - [0]
GAME #705 : Winner - [2]
GAME #706 : Winner - [0]
GAME #707 : Winner - [2]
GAME #708 : Winner - [0]
GAME #709 : Winner - [1]
GAME #710 : Winner - [0]
GAME #711 : Winner - [1]
GAME #712 : Winner - [2]
GAME #713 : Winner - [0]
GAME #714 : Winner - [1]
GAME #715 : Winner - [0]
GAME #716 : Winner - [1]
GAME #717 : Winner - [0]
GAME #718 : Winner - [2]
GAME #719 : Winner - [2]
GAME #720 : Winner - [1]
GAME #721 : Winner - [1]
GAME #722 : Winner - [0]
GAME #723 : Winner - [2]
GAME #724 : Winner - [0]
GAME #725 : Winner - [1]
GAME #726 : Winner - [0]
GAME #727 : Winner - [0]
GAME #728 : Winner - [0]
GAME #729 : Winner - [0]
GAME #730 : Winner - [0]
GAME #731 : Winner - [2]
GAME #732 : Winner - [2]
GAME #733 : Winner - [0]
GAME #734 : Winner - [0]
GAME #735 : Winner - [0]
GAME #736 : Winner - [0]
GAME #737 : Winner - [0]
GAME #738 : Winner - [0]
GAME #739 : Winner - [2]
GAME #740 : Winner - [0]
GAME #741 : Winner - [1]
GAME #742 : Winner - [2]
GAME #743 : Winner - [0]
GAME #744 : Winner - [2]
GAME #745 : Winner - [0]
GAME #746 : Winner - [2]
GAME #747 : Winner - [0]
GAME #748 : Winner - [0]
GAME #749 : Winner - [1]
GAME #750 : Winner - [0]
GAME #751 : Winner - [0]
GAME #752 : Winner - [2]
GAME #753 : Winner - [2]
GAME #754 : Winner - [0]
GAME #755 : Winner - [0]
GAME #756 : Winner - [2]
GAME #757 : Winner - [0]
GAME #758 : Winner - [1]
GAME #759 : Winner - [1]
GAME #760 : Winner - [1]
GAME #761 : Winner - [2]
GAME #762 : Winner - [1]
GAME #763 : Winner - [0]
GAME #764 : Winner - [1]
GAME #765 : Winner - [2]
GAME #766 : Winner - [1]
GAME #767 : Winner - [0]
GAME #768 : Winner - [2]
GAME #769 : Winner - [0]
GAME #770 : Winner - [0]
GAME #771 : Winner - [2]
GAME #772 : Winner - [0]
GAME #773 : Winner - [0]
GAME #774 : Winner - [0]
GAME #775 : Winner - [2]
GAME #776 : Winner - [2]
GAME #777 : Winner - [0]
GAME #778 : Winner - [0]
GAME #779 : Winner - [0]
GAME #780 : Winner - [0]
GAME #781 : Winner - [0]
GAME #782 : Winner - [0]
GAME #783 : Winner - [2]
GAME #784 : Winner - [1]
GAME #785 : Winner - [1]
GAME #786 : Winner - [0]
GAME #787 : Winner - [1]
GAME #788 : Winner - [1]
GAME #789 : Winner - [2]
GAME #790 : Winner - [2]
GAME #791 : Winner - [0]
GAME #792 : Winner - [1]
GAME #793 : Winner - [0]
GAME #794 : Winner - [1]
GAME #795 : Winner - [2]
GAME #796 : Winner - [2]
GAME #797 : Winner - [2]
GAME #798 : Winner - [2]
GAME #799 : Winner - [1]
GAME #800 : Winner - [0]
GAME #801 : Winner - [0]
GAME #802 : Winner - [2]
GAME #803 : Winner - [0]
GAME #804 : Winner - [2]
GAME #805 : Winner - [0]
GAME #806 : Winner - [1]
GAME #807 : Winner - [0]
GAME #808 : Winner - [1]
GAME #809 : Winner - [1]
GAME #810 : Winner - [2]
GAME #811 : Winner - [0]
GAME #812 : Winner - [0]
GAME #813 : Winner - [0]
GAME #814 : Winner - [2]
GAME #815 : Winner - [0]
GAME #816 : Winner - [1]
GAME #817 : Winner - [2]
GAME #818 : Winner - [2]
GAME #819 : Winner - [0]
GAME #820 : Winner - [1]
GAME #821 : Winner - [2]
GAME #822 : Winner - [2]
GAME #823 : Winner - [0]
GAME #824 : Winner - [1]
GAME #825 : Winner - [0]
GAME #826 : Winner - [0]
GAME #827 : Winner - [2]
GAME #828 : Winner - [2]
GAME #829 : Winner - [2]
GAME #830 : Winner - [1]
GAME #831 : Winner - [0]
GAME #832 : Winner - [2]
GAME #833 : Winner - [2]
GAME #834 : Winner - [2]
GAME #835 : Winner - [0]
GAME #836 : Winner - [1]
GAME #837 : Winner - [0]
GAME #838 : Winner - [0]
GAME #839 : Winner - [0]
GAME #840 : Winner - [2]
GAME #841 : Winner - [2]
GAME #842 : Winner - [2]
GAME #843 : Winner - [1]
GAME #844 : Winner - [1]
GAME #845 : Winner - [0]
GAME #846 : Winner - [2]
GAME #847 : Winner - [2]
GAME #848 : Winner - [0]
GAME #849 : Winner - [0]
GAME #850 : Winner - [0]
GAME #851 : Winner - [2]
GAME #852 : Winner - [0]
GAME #853 : Winner - [0]
GAME #854 : Winner - [0]
GAME #855 : Winner - [0]
GAME #856 : Winner - [1]
GAME #857 : Winner - [0]
GAME #858 : Winner - [1]
GAME #859 : Winner - [0]
GAME #860 : Winner - [0]
GAME #861 : Winner - [0]
GAME #862 : Winner - [2]
GAME #863 : Winner - [0]
GAME #864 : Winner - [2]
GAME #865 : Winner - [0]
GAME #866 : Winner - [2]
GAME #867 : Winner - [2]
GAME #868 : Winner - [0]
GAME #869 : Winner - [2]
GAME #870 : Winner - [1]
GAME #871 : Winner - [0]
GAME #872 : Winner - [0]
GAME #873 : Winner - [1]
GAME #874 : Winner - [0]
GAME #875 : Winner - [0]
GAME #876 : Winner - [0]
GAME #877 : Winner - [2]
GAME #878 : Winner - [2]
GAME #879 : Winner - [0]
GAME #880 : Winner - [0]
GAME #881 : Winner - [2]
GAME #882 : Winner - [0]
GAME #883 : Winner - [1]
GAME #884 : Winner - [1]
GAME #885 : Winner - [0]
GAME #886 : Winner - [0]
GAME #887 : Winner - [0]
GAME #888 : Winner - [0]
GAME #889 : Winner - [1]
GAME #890 : Winner - [1]
GAME #891 : Winner - [0]
GAME #892 : Winner - [2]
GAME #893 : Winner - [0]
GAME #894 : Winner - [1]
GAME #895 : Winner - [0]
GAME #896 : Winner - [0]
GAME #897 : Winner - [0]
GAME #898 : Winner - [0]
GAME #899 : Winner - [0]
GAME #900 : Winner - [0]
GAME #901 : Winner - [2]
GAME #902 : Winner - [2]
GAME #903 : Winner - [0]
GAME #904 : Winner - [0]
GAME #905 : Winner - [2]
GAME #906 : Winner - [1]
GAME #907 : Winner - [0]
GAME #908 : Winner - [0]
GAME #909 : Winner - [0]
GAME #910 : Winner - [0]
GAME #911 : Winner - [0]
GAME #912 : Winner - [2]
GAME #913 : Winner - [2]
GAME #914 : Winner - [0]
GAME #915 : Winner - [1]
GAME #916 : Winner - [0]
GAME #917 : Winner - [2]
